0	0
0.016667	2.0179e-12
0.033333	1.6342e-13
0.05	6.4801e-12
0.066667	-1.161e-11
0.083333	2.9843e-12
0.1	1.2136e-11
0.11667	1.8858e-11
0.13333	6.1462e-11
0.15	-2.8663e-11
0.16667	1.1848e-10
0.18333	2.0376e-10
0.2	1.1001e-10
0.21667	-4.8296e-11
0.23333	-1.0988e-10
0.25	1.656e-10
0.26667	1.2131e-10
0.28333	3.941e-11
0.3	4.7617e-11
0.31667	4.399e-11
0.33333	3.3314e-11
0.35	2.8557e-11
0.36667	2.7871e-11
0.38333	2.791e-11
0.4	2.7899e-11
0.41667	2.7917e-11
0.43333	2.7939e-11
0.45	2.791e-11
0.46667	2.7899e-11
0.48333	2.7931e-11
0.5	2.8013e-11
0.51667	2.791e-11
0.53333	2.7889e-11
0.55	2.7903e-11
0.56667	2.7889e-11
0.58333	2.7867e-11
0.6	2.7871e-11
0.61667	2.7885e-11
0.63333	2.7867e-11
0.65	2.783e-11
0.66667	2.796e-11
0.68333	2.7663e-11
0.7	2.7557e-11
0.71667	2.8386e-11
0.73333	2.8216e-11
0.75	2.8702e-11
0.76667	2.8143e-11
0.78333	2.7189e-11
0.8	2.7338e-11
0.81667	2.8837e-11
0.83333	3.0012e-11
0.85	2.9662e-11
0.86667	2.7878e-11
0.88333	2.4087e-11
0.9	2.9397e-11
0.91667	2.9084e-11
0.93333	2.3688e-11
0.95	3.0926e-11
0.96667	2.5114e-11
0.98333	2.7347e-11
1	3.5039e-11
1.0167	2.28e-11
1.0333	2.3501e-11
1.05	3.0626e-11
1.0667	3.6581e-11
1.0833	3.118e-11
1.1	2.2975e-11
1.1167	1.8504e-11
1.1333	1.8032e-11
1.15	1.9348e-11
1.1667	2.0588e-11
1.1833	2.0936e-11
1.2	2.0217e-11
1.2167	1.8659e-11
1.2333	1.7017e-11
1.25	1.6728e-11
1.2667	1.9419e-11
1.2833	2.5663e-11
1.3	3.3509e-11
1.3167	3.8145e-11
1.3333	3.492e-11
1.35	2.7988e-11
1.3667	2.1334e-11
1.3833	1.7003e-11
1.4	2.5738e-11
1.4167	3.6387e-11
1.4333	3.3515e-11
1.45	2.6439e-11
1.4667	1.7813e-11
1.4833	2.5306e-11
1.5	3.5861e-11
1.5167	3.0067e-11
1.5333	2.2403e-11
1.55	2.0856e-11
1.5667	3.2609e-11
1.5833	3.2152e-11
1.6	2.5011e-11
1.6167	2.0714e-11
1.6333	3.2212e-11
1.65	3.1132e-11
1.6667	2.2242e-11
1.6833	2.4365e-11
1.7	3.5159e-11
1.7167	2.5928e-11
1.7333	2.118e-11
1.75	3.6124e-11
1.7667	2.4931e-11
1.7833	2.3253e-11
1.8	3.5211e-11
1.8167	1.7934e-11
1.8333	3.3985e-11
1.85	2.7306e-11
1.8667	2.0787e-11
